Ehemaliges Regierungsmitglied,Datum,Kontakt zu:,Beteiligte (Gesprächsthema)
Sigmar Gabriel,19.04.2021,Auswärtiges Amt,St Miguel Berger (Telefonat zu USA)
Sabine Leutheusser- Schnarrenberger,19.04.2020,Wirtschaftsministerium,BM Peter Altmaier (gemeinsame Teilnahme an Live-Sendung Anne Will zum Thema „Deutschlands Exit- Strategie – der richtige Weg zurück in den Alltag?“)
Ronald Pofalla,19.04.2018,Bundeskanzleramt,StM Hendrik Hoppenstedt (Antrittsbesuch)
Daniel Bahr,19.03.2019,Bundeskanzleramt,StM’in Dorothee Bär (E-Health)
Hildegard Müller,19.02.2021,Wirtschaftsministerium,BM Peter Altmaier (Spitzenglättung)
Katherina Reiche,19.02.2021,Wirtschaftsministerium,BM Peter Altmaier (Nationaler Wasserstoffrat)
Ronald Pofalla,19.02.2019,Finanzministerium/Verkehrsministerium,"St Werner Gatzer, St Gerhard Schulz (LufV)"
Ronald Pofalla,19.02.2019,Wirtschaftsministerium,"PSt Oliver Wittke, (Gespräch zur aktuellen Lage/Strategie)"
Ronald Pofalla,19.01.2017,Verteidigungsministerium,St Gerd Hoofe (LKW Kartell/SEA)
Eckart von Klaeden,19.-21.07.2015,Wirtschaftsministerium,BM Sigmar Gabriel (Reise in den Iran)
Ronald Pofalla,18.12.2019,Verkehrsministerium,PSt Enak Ferlemann (Dachkonzept Starke Schiene)
Steffen Kampeter,18.12.2019,Entwicklungshilfeministerium,St Martin Jäger (Lieferketten)
Ronald Pofalla,18.12.2018,Bundeskanzleramt,StM Hendrik Hoppenstedt (Aktuelle Situation der Deutschen Bahn AG)
Steffen Kampeter,18.11.2020,Wirtschaftsministerium,St Ulrich Nußbaum (Regelmäßige Verbänderunde zu Corona)
Ronald Pofalla,18.10.2017,Umweltministerium,BM’in Barbara Hendricks
Katherina Reiche,18.07.2021,Innenministerium,St Markus Kerber (Telefonat zu hochauflösenden Satellitenbildern in Überschwemmungsgebieten zur SicherstellungderdortigenStromversorgung)
Ronald Pofalla,18.07.2019,Auswärtiges Amt,BM Heiko MAuswärtiges Amts (Petersburger Dialog)
Eckart von Klaeden,18.07.2016,Auswärtiges Amt,St Stephan Steinlein (Abendessen)
Steffen Kampeter,18.06.2019,Gesundheitsministerium,"BM Jens Spahn (Mindestlohn, Tarifvertrag Pflege)"
Eckart von Klaeden,18.05.2020,Verkehrsministerium,PSts Steffen Bilger (Brennstoffzelle/Wasserstoff)
Eckart von Klaeden,18.05.2020,Wirtschaftsministerium,PSt Thomas Bareiß (CDU-Landesgruppe BaWü mit Gästen der Daimler AG)
Eckart von Klaeden,18.03.2020,Verkehrsministerium,"BM Andreas Scheuer, PSt Steffen Bilger, St’in Tamara Zieschang (Corona-Lage)"
Steffen Kampeter,18.03.2020,Wirtschaftsministerium Arbeitsministerium,"BM Peter Altmaier, BM Hubertus Heil (Sozialpartnergespräch, Corona)"
Steffen Kampeter,18.02.2018,Verkehrsministerium,PSt Enak Ferlemann
Steffen Kampeter,18.01.2021,Wirtschaftsministerium,BM Peter Altmaier (Jahreswirtschaftsbericht)
Eckart von Klaeden,18.-22.06.2019,Wirtschaftsministerium,BM Peter Altmaier (Reise nach China)
Jan Mücke,17.12.2015,Bundeskanzleramt,StM Helge Braun (Umsetzung der Tabakproduktrichtlinie)
Hildegard Müller,17.11.2020,"Bundeskanzleramt, Finanzministerium","BK’in Angela Merkel, BM Olaf Scholz (Konzertierte Aktion Mobilität)"
Eckart von Klaeden,17.11.2020,Finanzministerium,"BM Olaf Scholz, St Werner Gatzer (Elektromobilität, Ladeinfrastruktur)"
